TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91100616500	SOGO PHARMACEUTICAL CO., LTD	Y	4	06165	JP	Actives	BOTTLE	1	KG	AMINOETHANESULFINIC ACID
	ME12	C000002	91100627200	SOGO PHARMACEUTICAL CO., LTD	Y	4	06272	JP	Actives	BOTTLE	1	KG	THIOTAURINE
	ME12	C000002	91100637400	AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA	Y	4	06374	BR	Actives	BOX	25	KG	pyrrolidonecarboxylic acid (PCA)
	ME12	C000002	91100625500	Zhejiang NHU Company Ltd.	Y	4	06255	JP	Actives	BOTTLE	1	KG	TOCOPHEROL
	ME12	C000002	91100532100	NIPPON SALT MANUFACTURING CO. LTD	Y	4	05321	JP	Actives	BAG	25	KG	SODIUM CHLORIDE
	ME12	C000002	91100481300	BASF	Y	4	04813	US	Powders	BAG	22680	G	KAOLIN
	ME12	C000002	91100644501	ACTIVE CONCEPTS LLC	Y	4	06445	US	Surfactant	BUCKET	5	KG	WATER/SOLUBLE?COLLAGEN//SOLUBLE?COLLAGEN
	ME12	C000002	91100629500	GATTEFOSSE S.A.	Y	4	06295	FR	Actives	BOTTLE	1	KG	Hamamelis Virginiana (Witch Hazel) Leaf Extract
	ME12	C000002	91100626701	ICHIMARU PHARCOS CO., LTD	Y	4	06267	JP	Actives	CAN	5	KG	BUTYLENE GLYCOL/PRUNUS SPECIOSA LEAF EXTRACT/WATER/COUMARIN
	ME12	C000002	91100665800	ICHIMARU PHARCOS CO.,LTD	Y	4	06658	JP	Actives	BOTTLE	1	KG	WATER/ALCOHOL/HYDROLYZEDÿSILK
	ME12	C000002	91100612800	KOEI KOGYO CO., LTD	Y	4	06128	JP	Actives	CAN	10	KG	Royal jelly extract/1,3-Butylene glycol
	ME12	C000002	91100635500	KOEI KOGYO CO., LTD	Y	4	06355	JP	Actives	CAN	10	KG	WATER/BUTYLENE GLYCOL/GLYCINE SOJA (SOYBEAN)/SEED EXTRACT
	ME12	C000002	91100645200	KOEI KOGYO CO., LTD	Y	4	06452	JP	Actives	CAN	4	KG	Royal jelly extract / ETHANOL
